ހަރުދަނާ	harudhanaa
ފެންވަރުގަޔާއި	fenvarugayaai
ފެންވަރެއްގެ	fenvareއge
ފޯރާ	foaraa
ދ	dh
ދަށުން	dhashun
ދަށުން،	dhashun،
ދަށުގައިވާ	dhashugaivaa
ދަރަޖައަކާއި،	dharajaakaai،
ދަރަޖައާ	dharajaaa
ދަރަޖައާއި	dharajaaai
ދަރަޖައެއްގައި	dharajaeއgai
ދަރިފަސްކޮޅުގެ	dharifaskolhuge
ދައުލަތަކަށް،	dhaulathakash،
ދައުލަތުގެ	dhaulathuge
ދައުލަތްތަކަށް	dhaulaththakash
ދައުލަތްތަކާ	dhaulaththakaa
ދައުލަތްތަކުން	dhaulaththakun
ދައުލަތްތަކުގެ	dhaulaththakuge
ދައްކައިދެނީ،	dhaއkaidhenee،
ދަތުރު	dhathuru
ދަސްވެފައި	dhasvefai
ދަޢުވާ	dhaޢuvaa
ދިނުން	dhinun
ދިނުމުގެ	dhinumuge
ދިނުމެއް	dhinumeއ
ދިރިހުރުމުގެ	dhirihurumuge
ދިރިއުޅުން	dhiriulhun
ދިރިއުޅުމަކަށް	dhiriulhumakash
ދިރިއުޅުމުގެ	dhiriulhumuge
ދިރިއުޅުމެއް،	dhiriulhumeއ،
ދިރިއުޅެވޭނެ	dhiriulheveyne
ދިރިއުޅޭ	dhiriulhey
ދިއުމުގެ	dhiumuge
ދިވެހި	dhivehi
ދިވެހިރާއްޖެ	dhivehiraaއje
ދިވެހިރާއްޖޭގައި	dhivehiraaއjeygai
ދިފާޢުގައި	dhifaaޢugai
ދިޔުމުގެ	dhiyumuge
ދީނަށް	dheenash
ދީނަކަށް	dheenakash
ދީނާއި،	dheenaai،
ދީނީ	dheenee
ދީނުގައިވަ	dheenugaiva
ދީނުގައިވާ	dheenugaivaa
ދީން	dheen
ދީބާޖާ	dheebaajaa
ދީމުޤްރާޠީ	dheemuޤraaޠee
ދުށުމާއި،	dhushumaai،
ދުނިޔެއަށް	dhuniyeash
ދުނިޔެއެއްގެ	dhuniyeeއge
ދުނިޔޭގައި	dhuniyeygai
ދުޅަހެޔޮކަންމަތީ	dhulhaheyokanmathee
ދުވަސް	dhuvas
ދުވަސްވަރަކީ،	dhuvasvarakee،
ދުވަސްވަރާއި،	dhuvasvaraai،
ދުވަސްވަރެކެވެ	dhuvasvarekeve
ދޫކޮށް	dhookosh
ދޫކޮށްލިއިރު،	dhookoshliiru،
ދެނެގަނެ	dhenegane
ދެންފަހެ،	dhenfahe،
ދެކެން	dheken
ދެކެފަރިތަ	dhekefaritha
ދެކޮޅަށް	dhekolhash
ދެއްކުމުގެ	dheއkumuge
ދެވިގެންވާ	dhevigenvaa
